order_item_id,transaction_id,product_id,quantity,unit_price,discount
1,1,183,2,2124.21,187.49
2,1,89,3,2808.5,327.42
3,2,102,5,3275.67,371.76
4,2,15,5,1167.61,91.53
5,2,56,4,3244.62,396.27
6,2,9,4,4654.28,417.81
7,3,186,1,4479.18,559.36
8,3,173,5,4470.64,525.55
9,3,3,4,4599.32,87.89
10,3,176,1,937.67,48.64
11,3,73,2,4624.2,536.13
12,4,160,1,2778.13,234.6
13,4,126,3,820.49,109.89
14,4,117,1,2747.28,262.98
15,5,139,4,2864.38,209.67
16,5,29,4,3256.54,368.55
17,5,41,3,1208.53,110.52
18,6,150,4,869.53,31.25
19,6,52,4,591.91,33.18
20,6,186,1,4479.18,651.67
21,7,27,4,3128.95,438.12
22,7,162,4,701.96,101.5
23,7,46,3,927.86,1.51
24,8,98,2,494.14,41.48
25,8,127,1,906.98,11.34
26,8,183,2,2124.21,45.46
27,8,26,3,5740.08,753.0
28,8,102,4,3275.67,220.53
29,9,174,5,2737.99,31.47
30,10,31,4,403.73,6.73
31,10,69,3,862.74,92.63
32,10,147,5,452.24,10.77
33,10,12,4,1252.26,152.14
34,11,156,5,962.11,134.75
35,11,6,2,853.35,22.08
36,11,63,1,1180.57,175.74
37,11,150,4,869.53,4.22
38,11,9,2,4654.28,641.48
39,12,28,1,4669.13,331.75
40,12,76,1,3072.32,432.4
41,12,124,3,3227.07,441.12
42,12,72,4,3887.14,487.11
43,13,94,3,4280.17,210.37
44,13,47,2,2750.76,354.59
45,13,88,3,448.89,39.53
46,14,194,3,971.77,108.74
47,14,23,3,388.14,38.19
48,14,104,2,478.96,1.69
49,14,51,4,4563.43,136.77
50,15,106,3,627.22,47.89
51,15,86,1,890.21,7.28
52,15,76,3,3072.32,96.22
53,15,46,3,927.86,117.91
54,15,1,1,4378.07,645.3
55,16,106,3,627.22,21.73
56,17,119,1,2920.15,353.51
57,17,167,4,407.16,37.46
58,17,161,4,997.27,72.62
59,18,54,3,437.03,4.23
60,19,39,3,853.08,121.34
61,19,71,5,451.77,63.46
62,19,71,5,451.77,4.39
63,20,56,3,3244.62,446.48
64,20,147,1,452.24,45.36
65,20,51,3,4563.43,503.03
66,21,134,3,832.87,4.91
67,22,54,5,437.03,10.06
68,22,183,3,2124.21,202.96
69,22,104,3,478.96,7.06
70,22,53,2,4516.64,621.65
71,23,13,1,2906.04,130.44
72,24,27,2,3128.95,201.47
73,24,200,3,6139.2,901.77
74,24,61,5,4581.77,182.32
75,24,121,1,3124.08,343.44
76,24,144,1,937.16,80.95
77,25,166,1,490.98,26.69
78,25,156,1,962.11,143.42
79,26,62,5,413.43,41.93
80,26,39,2,853.08,104.7
81,27,33,3,809.76,70.76
82,27,57,2,1215.73,158.87
83,27,110,3,814.78,59.84
84,27,31,1,403.73,59.49
85,28,44,3,446.54,65.55
86,28,191,1,2110.4,44.32
87,28,197,2,2785.61,1.09
88,28,7,4,824.4,21.42
89,28,62,5,413.43,6.99
90,29,168,5,3048.0,77.71
91,29,94,1,4280.17,266.08
92,30,23,4,388.14,26.21
93,30,32,5,873.68,57.23
94,30,126,5,820.49,99.66
95,30,25,4,517.05,10.91
96,30,39,2,853.08,29.23
97,31,145,1,977.75,36.51
98,31,54,3,437.03,13.52
99,31,96,2,4669.37,246.7
100,32,183,5,2124.21,273.47
101,32,185,2,3175.01,342.12
102,33,179,1,1154.52,133.59
103,33,184,1,3067.82,264.37
104,33,27,3,3128.95,372.36
105,34,24,4,2665.45,220.14
106,34,137,5,2164.05,174.72
107,34,20,5,3111.43,303.61
108,34,75,3,5646.81,327.09
109,35,25,4,517.05,15.09
110,35,34,5,412.14,30.18
111,36,134,4,832.87,106.6
112,36,73,4,4624.2,609.11
113,37,184,2,3067.82,100.18
114,37,36,2,4395.48,166.28
115,38,52,4,591.91,87.45
116,38,143,2,857.59,50.52
117,38,192,1,2713.26,64.53
118,38,65,1,848.81,37.38
119,39,134,4,832.87,117.61
120,39,139,3,2864.38,204.87
121,40,2,3,486.46,18.84
122,40,73,1,4624.2,307.13
123,40,80,2,2211.07,90.57
124,40,20,1,3111.43,160.64
125,40,151,3,872.15,87.35
126,41,99,3,599.04,16.4
127,42,56,2,3244.62,281.81
128,42,162,2,701.96,28.23
129,42,69,5,862.74,97.68
130,43,187,3,3958.45,70.48
131,43,151,3,872.15,41.77
132,43,2,5,486.46,47.58
133,44,116,4,461.96,22.04
134,44,68,4,808.05,16.52
135,44,140,1,4569.95,509.93
136,44,172,4,918.76,3.8
137,44,110,4,814.78,21.75
138,45,27,4,3128.95,440.65
139,46,7,3,824.4,24.14
140,46,115,4,1155.88,171.45
141,47,157,3,2300.59,189.09
142,47,122,2,4481.48,189.4
143,47,65,5,848.81,123.07
144,48,30,3,2187.49,56.4
145,48,133,2,594.34,0.52
146,48,193,4,854.42,70.43
147,48,187,1,3958.45,510.68
148,49,13,5,2906.04,76.54
149,49,186,4,4479.18,430.92
150,49,2,5,486.46,36.6
151,49,47,2,2750.76,411.86
152,49,149,2,628.72,33.61
